Boar Stud,2023-02-05,2023-02-19,2023-03-05,2023-03-19,2023-04-02,2023-04-16
MB 7081,1.1408184143222506,1.1959278350515463,1.0513054830287205,1.1594986807387861,1.0264627659574468,1.9699476439790575
MB 7082,1.2411968085106382,1.2248010610079576,1.2288000000000001,1.0684536082474227,1.0902010050251256,2.2554040404040405
MB 7092,1.3600391644908616,1.2975665859564165,1.1522222222222223,1.179431952662722,1.3393026151930263,2.678886075949367
MB 7093,1.2055108695652172,1.2433186813186814,1.3204738760631836,1.2760757946210268,1.169774919614148,2.326630434782609
MB 7094,2.532891156462585,1.4576109215017063,1.3184931506849316,1.2339611360239162,1.157702523240372,2.58656
MBW Cimarron,1.4192679355783309,1.4232465543644717,1.4470673076923077,1.1387591240875912,1.0588725490196078,2.2514588859416444
MBW Cyclone,1.304358490566038,1.0426315789473684,0.9937883008356545,0.9621488764044943,1.0190611664295874,2.258103448275862
MBW Yuma,1.3761861861861862,1.429202657807309,1.2661383285302594,1.2139687499999998,1.2681045751633988,2.5619736842105265
Skyline Boar Stud,1.2677118644067795,1.1948546511627907,1.2294362017804155,1.2772,1.46046875,2.262420382165605
SPGNC,0.9260144927536232,0.9315291262135922,0.9665165876777251,0.7783293556085918,0.6682725060827251,1.3709900990099009
SPGVA,0.5401672862453532,1.1730590339892666,0.8481981981981982,0.8631711711711711,0.9249730700179534,1.8786956521739129
