Boar Stud,Last Arrival Date,Total Boars,No Attempt,No Collection,Less Than 4 Collections,More Than 4 Collections,Percent Trained
MB 7083,2016-04-05,196,196,0,0,0,0
MB 7084,2016-06-09,50,50,0,0,0,0
GCM7-4,2019-05-27,52,52,0,0,0,0
MBW Illinois,2019-07-15,18,18,0,0,0,0
SPGTX,2020-06-19,41,0,0,1,40,100
Prestage MS,2020-11-12,60,15,0,45,0,75
Ingold,2020-12-09,28,0,0,4,24,100
Norson,2020-12-17,69,0,0,8,61,100
Princeton,2021-01-03,95,1,2,2,90,96.84210526315789
Skyline Boar Stud,2021-01-03,58,1,0,2,55,98.27586206896551
MBW Cyclone,2021-01-11,15,0,1,0,14,93.33333333333333
MB 7094,2021-01-17,50,1,0,9,40,98
GCM23-4,2021-01-18,52,3,0,12,37,94.23076923076923
Clinton,2021-01-20,32,8,0,5,19,75
MB 7092,2021-01-23,50,2,0,7,41,96
MBW Cimarron,2021-01-25,28,0,0,0,28,100
High Desert,2021-02-01,42,5,0,36,1,88.09523809523809
MB 7082,2021-02-01,39,0,12,22,5,69.23076923076923
SPGNC,2021-02-01,24,0,0,21,3,100
MB 7081,2021-02-14,25,18,1,6,0,24
MB 7093,2021-02-15,59,2,0,57,0,96.61016949152543
MBW Yuma,2021-02-22,24,8,0,16,0,66.66666666666666
SPGVA,2021-02-22,10,0,0,10,0,100
